            S0#	      S1#	      S2#	      S3#	      S4#	   TOTAL	
  C0:*       3	       0	       0	       0	       0	       3	(3.00)
  C1:*       3	       0	       0	       0	       0	       3	(3.00)
 C10:*       0	       0	       6	       0	       0	       6	(6.00)
 C11:*       0	       0	       2	       0	       0	       2	(2.00)
 C12:*       0	       0	       3	       1	       0	       4	(4.00)
 C13:*       0	       0	       0	       8	       0	       8	(8.00)
 C14:*       0	       0	       0	       1	       8	       9	(9.00)
 C15:*       0	       0	       0	       0	       2	       2	(2.00)
 C16:*       0	       0	       0	       0	       2	       2	(2.00)
  C2:*       9	       5	       0	       0	       0	      14	(14.00)
  C3:*       0	       8	       0	       0	       0	       8	(8.00)
  C4:*       0	      14	       0	       0	       0	      14	(14.00)
  C5:*       0	       1	       3	       0	       0	       4	(4.00)
  C6:*       0	       0	       2	       0	       0	       2	(2.00)
  C7:*       0	       0	      12	       0	       0	      12	(12.00)
  C8:*       0	       0	       3	       0	       0	       3	(3.00)
  C9:*       0	       0	       4	       0	       0	       4	(4.00)
 TOTAL      15	      28	      35	      10	      12	     100
         (15.00)   (28.00)   (35.00)   (10.00)   (12.00)
