            S0	      S1	   TOTAL	
 C13:       13	       0	      13	(1.11)
C191:        0	      11	      11	(0.94)
  C0:*       2	       0	       2	(0.17)
  C1:*       4	       0	       4	(0.34)
 C10:*       3	       0	       3	(0.26)
C100:*       3	       0	       3	(0.26)
C101:*      13	       0	      13	(1.11)
C102:*       3	       0	       3	(0.26)
C103:*       7	       0	       7	(0.60)
C104:*       2	       0	       2	(0.17)
C105:*       2	       0	       2	(0.17)
C106:*       2	       0	       2	(0.17)
C107:*       8	       0	       8	(0.69)
C108:*       3	       0	       3	(0.26)
C109:*       2	       0	       2	(0.17)
 C11:*       7	       0	       7	(0.60)
C110:*       2	       0	       2	(0.17)
C111:*       9	       0	       9	(0.77)
C112:*       2	       0	       2	(0.17)
C113:*       2	       0	       2	(0.17)
C114:*       5	       0	       5	(0.43)
C115:*       2	       0	       2	(0.17)
C116:*       3	       0	       3	(0.26)
C117:*       3	       0	       3	(0.26)
C118:*       8	       0	       8	(0.69)
C119:*       2	       0	       2	(0.17)
 C12:*       5	       0	       5	(0.43)
C120:*       2	       0	       2	(0.17)
C121:*       4	       0	       4	(0.34)
C122:*      10	       0	      10	(0.86)
C123:*       2	       0	       2	(0.17)
C124:*       3	       0	       3	(0.26)
C125:*       5	       0	       5	(0.43)
C126:*       2	       0	       2	(0.17)
C127:*       2	       0	       2	(0.17)
C128:*       2	       0	       2	(0.17)
C129:*       3	       0	       3	(0.26)
C130:*       3	       0	       3	(0.26)
C131:*       4	       0	       4	(0.34)
C132:*       3	       0	       3	(0.26)
C133:*       2	       0	       2	(0.17)
C134:*       2	       0	       2	(0.17)
C135:*       5	       0	       5	(0.43)
C136:*       3	       0	       3	(0.26)
C137:*       3	       0	       3	(0.26)
C138:*       3	       0	       3	(0.26)
C139:*       6	       0	       6	(0.51)
 C14:*       3	       0	       3	(0.26)
C140:*       2	       0	       2	(0.17)
C141:*       3	       0	       3	(0.26)
C142:*       3	       0	       3	(0.26)
C143:*       3	       0	       3	(0.26)
C144:*       3	       0	       3	(0.26)
C145:*       2	       0	       2	(0.17)
C146:*       8	       0	       8	(0.69)
C147:*       7	       0	       7	(0.60)
C148:*       2	       0	       2	(0.17)
C149:*       2	       0	       2	(0.17)
 C15:*       6	       0	       6	(0.51)
C150:*       0	       2	       2	(0.17)
C151:*       0	       5	       5	(0.43)
C152:*       0	       2	       2	(0.17)
C153:*       0	       2	       2	(0.17)
C154:*       0	       2	       2	(0.17)
C155:*       0	       2	       2	(0.17)
C156:*       0	       3	       3	(0.26)
C157:*       0	       2	       2	(0.17)
