            S1	      S0	   TOTAL	
  C2:       43	       6	      49	(3.19)
C101:        2	      15	      17	(1.11)
  C0:*       8	       1	       9	(0.59)
  C1:*       5	       0	       5	(0.33)
 C10:*      11	      11	      22	(1.43)
C100:*       1	       7	       8	(0.52)
C102:*       2	       5	       7	(0.46)
C103:*       0	       3	       3	(0.20)
C104:*       0	       7	       7	(0.46)
C105:*       0	       7	       7	(0.46)
C106:*       2	      10	      12	(0.78)
C107:*       2	       7	       9	(0.59)
C108:*       0	       2	       2	(0.13)
C109:*       1	       4	       5	(0.33)
 C11:*       4	       8	      12	(0.78)
C110:*       1	       2	       3	(0.20)
C111:*       2	       2	       4	(0.26)
C112:*       0	       3	       3	(0.20)
C113:*       2	       0	       2	(0.13)
C114:*       2	       4	       6	(0.39)
C115:*       2	       4	       6	(0.39)
C116:*       1	       4	       5	(0.33)
C117:*       0	       2	       2	(0.13)
C118:*       0	       4	       4	(0.26)
C119:*       1	       1	       2	(0.13)
 C12:*       5	       2	       7	(0.46)
C120:*       0	       2	       2	(0.13)
C121:*       3	       3	       6	(0.39)
C122:*       0	       3	       3	(0.20)
C123:*       1	       3	       4	(0.26)
C124:*       3	       1	       4	(0.26)
C125:*       0	       2	       2	(0.13)
C126:*       4	       4	       8	(0.52)
C127:*       1	      11	      12	(0.78)
C128:*       1	       2	       3	(0.20)
C129:*       2	       0	       2	(0.13)
 C13:*       2	       3	       5	(0.33)
C130:*       2	       0	       2	(0.13)
C131:*       1	       3	       4	(0.26)
C132:*       0	       2	       2	(0.13)
C133:*       1	       5	       6	(0.39)
C134:*       0	       2	       2	(0.13)
C135:*       0	       2	       2	(0.13)
C136:*       0	       3	       3	(0.20)
C137:*       1	       4	       5	(0.33)
C138:*       2	       0	       2	(0.13)
C139:*       1	       1	       2	(0.13)
 C14:*       1	       1	       2	(0.13)
C140:*       2	       2	       4	(0.26)
C141:*       0	       9	       9	(0.59)
C142:*       3	       2	       5	(0.33)
C143:*       2	       4	       6	(0.39)
C144:*       1	       1	       2	(0.13)
C145:*       0	       2	       2	(0.13)
C146:*       1	       1	       2	(0.13)
C147:*       1	       1	       2	(0.13)
C148:*       0	       2	       2	(0.13)
C149:*       2	       2	       4	(0.26)
 C15:*       8	       0	       8	(0.52)
C150:*       2	       5	       7	(0.46)
C151:*       0	       3	       3	(0.20)
C152:*       0	       4	       4	(0.26)
C153:*       1	       5	       6	(0.39)
C154:*       0	       5	       5	(0.33)
C155:*       0	       2	       2	(0.13)
C156:*       0	       3	       3	(0.20)
C157:*       0	       2	       2	(0.13)
C158:*       1	       1	       2	(0.13)
C159:*       0	       6	       6	(0.39)
 C16:*       1	       1	       2	(0.13)
C160:*       0	       4	       4	(0.26)
C161:*       1	       8	       9	(0.59)
C162:*       0	       2	       2	(0.13)
C163:*       0	       2	       2	(0.13)
C164:*       0	       3	       3	(0.20)
C165:*       0	       2	       2	(0.13)
C166:*       1	       6	       7	(0.46)
C167:*       2	       0	       2	(0.13)
C168:*       2	       3	       5	(0.33)
C169:*       0	       3	       3	(0.20)
 C17:*       2	       4	       6	(0.39)
C170:*       1	      11	      12	(0.78)
C171:*       2	       1	       3	(0.20)
C172:*       1	       1	       2	(0.13)
C173:*       0	       2	       2	(0.13)
C174:*       0	       3	       3	(0.20)
C175:*       0	       3	       3	(0.20)
C176:*       0	       8	       8	(0.52)
C177:*       0	       4	       4	(0.26)
C178:*       3	       6	       9	(0.59)
C179:*       1	       2	       3	(0.20)
 C18:*       4	       4	       8	(0.52)
C180:*       6	       2	       8	(0.52)
C181:*       5	       1	       6	(0.39)
C182:*       1	       5	       6	(0.39)
C183:*       1	       3	       4	(0.26)
C184:*       0	       2	       2	(0.13)
C185:*       0	       2	       2	(0.13)
C186:*       1	       1	       2	(0.13)
C187:*       1	       1	       2	(0.13)
C188:*       1	       2	       3	(0.20)
C189:*       2	       2	       4	(0.26)
 C19:*       0	       3	       3	(0.20)
C190:*       2	       3	       5	(0.33)
C191:*       0	       2	       2	(0.13)
C192:*       1	       1	       2	(0.13)
C193:*       2	       8	      10	(0.65)
C194:*       0	       2	       2	(0.13)
C195:*       0	       5	       5	(0.33)
C196:*       0	       4	       4	(0.26)
C197:*       0	       4	       4	(0.26)
C198:*       0	       2	       2	(0.13)
C199:*       0	       3	       3	(0.20)
 C20:*       5	       4	       9	(0.59)
C200:*       0	       5	       5	(0.33)
C201:*       1	       1	       2	(0.13)
C202:*       0	       2	       2	(0.13)
C203:*       0	       2	       2	(0.13)
C204:*       1	       1	       2	(0.13)
C205:*       1	       4	       5	(0.33)
C206:*       4	       0	       4	(0.26)
C207:*       2	       1	       3	(0.20)
C208:*       4	       6	      10	(0.65)
C209:*       0	       3	       3	(0.20)
 C21:*       2	       4	       6	(0.39)
C210:*       1	       8	       9	(0.59)
C211:*       1	       1	       2	(0.13)
C212:*       4	       3	       7	(0.46)
C213:*       1	       2	       3	(0.20)
C214:*       0	       2	       2	(0.13)
C215:*       2	       1	       3	(0.20)
C216:*       2	       2	       4	(0.26)
C217:*       2	       0	       2	(0.13)
C218:*       2	       0	       2	(0.13)
C219:*       4	       0	       4	(0.26)
 C22:*       2	       2	       4	(0.26)
C220:*       4	       0	       4	(0.26)
C221:*       2	       0	       2	(0.13)
C222:*       3	       0	       3	(0.20)
C223:*       2	       1	       3	(0.20)
C224:*       1	       2	       3	(0.20)
C225:*       2	       2	       4	(0.26)
C226:*       4	       0	       4	(0.26)
C227:*       3	       0	       3	(0.20)
C228:*       2	       0	       2	(0.13)
C229:*       3	       0	       3	(0.20)
 C23:*       3	       3	       6	(0.39)
C230:*       2	       0	       2	(0.13)
C231:*       3	       0	       3	(0.20)
C232:*       2	       0	       2	(0.13)
C233:*       2	       0	       2	(0.13)
C234:*       3	       0	       3	(0.20)
C235:*       6	       0	       6	(0.39)
C236:*       2	       0	       2	(0.13)
C237:*       2	       0	       2	(0.13)
C238:*       1	       1	       2	(0.13)
C239:*       2	       1	       3	(0.20)
 C24:*       1	       2	       3	(0.20)
C240:*       6	       0	       6	(0.39)
C241:*       2	       0	       2	(0.13)
C242:*       2	       0	       2	(0.13)
C243:*       1	       1	       2	(0.13)
C244:*       3	       0	       3	(0.20)
C245:*       1	       2	       3	(0.20)
C246:*       1	       2	       3	(0.20)
C247:*       1	       1	       2	(0.13)
C248:*       5	       0	       5	(0.33)
C249:*       2	       0	       2	(0.13)
 C25:*       6	       6	      12	(0.78)
C250:*       2	       0	       2	(0.13)
C251:*       1	       1	       2	(0.13)
C252:*       1	       1	       2	(0.13)
C253:*       2	       2	       4	(0.26)
C254:*       0	       4	       4	(0.26)
C255:*       1	       1	       2	(0.13)
C256:*       0	       3	       3	(0.20)
C257:*       7	       0	       7	(0.46)
C258:*       2	       0	       2	(0.13)
C259:*       4	       1	       5	(0.33)
 C26:*       7	       2	       9	(0.59)
C260:*       1	       1	       2	(0.13)
C261:*       5	       0	       5	(0.33)
C262:*       1	       5	       6	(0.39)
C263:*       1	       1	       2	(0.13)
