            S1	      S0	   TOTAL	
 C18:       40	      26	      66	(4.22)
 C22:       53	      97	     150	(9.59)
  C0:*       8	      13	      21	(1.34)
  C1:*       4	       8	      12	(0.77)
 C10:*       6	       5	      11	(0.70)
C100:*       8	       1	       9	(0.58)
C101:*       2	       0	       2	(0.13)
C102:*       6	       3	       9	(0.58)
C103:*       6	       0	       6	(0.38)
C104:*       3	       1	       4	(0.26)
C105:*       2	       0	       2	(0.13)
C106:*       3	       0	       3	(0.19)
C107:*       1	       1	       2	(0.13)
C108:*       6	       0	       6	(0.38)
C109:*       1	       1	       2	(0.13)
 C11:*       2	       6	       8	(0.51)
C110:*       1	       1	       2	(0.13)
C111:*       3	       0	       3	(0.19)
C112:*       3	       1	       4	(0.26)
C113:*       4	       0	       4	(0.26)
C114:*       3	       0	       3	(0.19)
C115:*       2	       2	       4	(0.26)
C116:*       1	       1	       2	(0.13)
C117:*       3	       1	       4	(0.26)
C118:*       4	       0	       4	(0.26)
C119:*       2	       0	       2	(0.13)
 C12:*       7	       8	      15	(0.96)
C120:*       3	       0	       3	(0.19)
C121:*       2	       0	       2	(0.13)
C122:*       5	       0	       5	(0.32)
C123:*       1	       1	       2	(0.13)
C124:*       4	       4	       8	(0.51)
C125:*       4	       1	       5	(0.32)
C126:*       3	       0	       3	(0.19)
C127:*       5	       0	       5	(0.32)
C128:*       4	       0	       4	(0.26)
C129:*       2	       0	       2	(0.13)
 C13:*      30	      24	      54	(3.45)
C130:*       1	       3	       4	(0.26)
C131:*       2	       0	       2	(0.13)
C132:*       2	       0	       2	(0.13)
C133:*       3	       0	       3	(0.19)
C134:*       2	       1	       3	(0.19)
C135:*       1	       1	       2	(0.13)
C136:*       2	       0	       2	(0.13)
C137:*       2	       0	       2	(0.13)
C138:*       2	       0	       2	(0.13)
C139:*       2	       0	       2	(0.13)
 C14:*      15	      13	      28	(1.79)
C140:*       2	       1	       3	(0.19)
C141:*       2	       1	       3	(0.19)
C142:*       2	       0	       2	(0.13)
C143:*       2	       0	       2	(0.13)
C144:*       2	       0	       2	(0.13)
C145:*       2	       0	       2	(0.13)
C146:*       3	       0	       3	(0.19)
C147:*       3	       0	       3	(0.19)
C148:*       3	       0	       3	(0.19)
C149:*       2	       0	       2	(0.13)
 C15:*      20	       6	      26	(1.66)
C150:*       6	       0	       6	(0.38)
C151:*       3	       0	       3	(0.19)
C152:*       3	       0	       3	(0.19)
C153:*       4	       0	       4	(0.26)
C154:*       2	       0	       2	(0.13)
C155:*       3	       0	       3	(0.19)
C156:*       4	       0	       4	(0.26)
C157:*       2	       0	       2	(0.13)
C158:*       7	       0	       7	(0.45)
C159:*       2	       0	       2	(0.13)
 C16:*       2	       1	       3	(0.19)
C160:*       2	       0	       2	(0.13)
C161:*       6	       0	       6	(0.38)
C162:*       2	       0	       2	(0.13)
C163:*       2	       0	       2	(0.13)
C164:*       2	       0	       2	(0.13)
C165:*       3	       0	       3	(0.19)
C166:*       1	       1	       2	(0.13)
C167:*       4	       0	       4	(0.26)
C168:*       2	       0	       2	(0.13)
C169:*       4	       0	       4	(0.26)
 C17:*       3	       6	       9	(0.58)
C170:*       2	       0	       2	(0.13)
C171:*       2	       0	       2	(0.13)
C172:*       2	       0	       2	(0.13)
C173:*       4	       0	       4	(0.26)
C174:*       3	       0	       3	(0.19)
C175:*       3	       0	       3	(0.19)
C176:*       3	       0	       3	(0.19)
C177:*       3	       0	       3	(0.19)
C178:*       2	       0	       2	(0.13)
C179:*       1	       1	       2	(0.13)
C180:*       4	       3	       7	(0.45)
C181:*       5	       0	       5	(0.32)
C182:*       2	       1	       3	(0.19)
C183:*       1	       2	       3	(0.19)
C184:*       0	       3	       3	(0.19)
C185:*       1	       1	       2	(0.13)
C186:*       5	       0	       5	(0.32)
C187:*       2	       0	       2	(0.13)
C188:*       2	       0	       2	(0.13)
C189:*       2	       0	       2	(0.13)
 C19:*       1	       2	       3	(0.19)
C190:*       2	       0	       2	(0.13)
C191:*       2	       1	       3	(0.19)
C192:*       2	       0	       2	(0.13)
C193:*       3	       0	       3	(0.19)
C194:*       2	       0	       2	(0.13)
C195:*       2	       2	       4	(0.26)
C196:*       2	       2	       4	(0.26)
C197:*       2	       0	       2	(0.13)
C198:*       1	       1	       2	(0.13)
C199:*       1	       1	       2	(0.13)
  C2:*       7	       7	      14	(0.90)
 C20:*      10	      13	      23	(1.47)
C200:*       1	       1	       2	(0.13)
C201:*       2	       0	       2	(0.13)
C202:*       2	       1	       3	(0.19)
C203:*       1	       2	       3	(0.19)
C204:*       3	       2	       5	(0.32)
C205:*       2	       0	       2	(0.13)
C206:*       1	       2	       3	(0.19)
C207:*       6	       5	      11	(0.70)
C208:*       1	       1	       2	(0.13)
C209:*       2	       0	       2	(0.13)
 C21:*       2	       4	       6	(0.38)
C210:*       2	       0	       2	(0.13)
C211:*       2	       0	       2	(0.13)
C212:*       1	       1	       2	(0.13)
C213:*       2	       0	       2	(0.13)
C214:*       8	       3	      11	(0.70)
C215:*       1	       1	       2	(0.13)
C216:*       8	       0	       8	(0.51)
C217:*       1	       2	       3	(0.19)
C218:*       3	       0	       3	(0.19)
C219:*       4	       0	       4	(0.26)
C220:*       2	       0	       2	(0.13)
C221:*       3	       0	       3	(0.19)
C222:*       2	       1	       3	(0.19)
C223:*       2	       0	       2	(0.13)
C224:*       1	       1	       2	(0.13)
C225:*       2	       0	       2	(0.13)
C226:*       2	       1	       3	(0.19)
C227:*       3	       0	       3	(0.19)
C228:*       2	       1	       3	(0.19)
C229:*       2	       0	       2	(0.13)
 C23:*      11	       6	      17	(1.09)
C230:*       2	       0	       2	(0.13)
C231:*       2	       0	       2	(0.13)
C232:*       3	       0	       3	(0.19)
C233:*       2	       1	       3	(0.19)
C234:*       3	       0	       3	(0.19)
C235:*       2	       0	       2	(0.13)
C236:*       2	       1	       3	(0.19)
C237:*       3	       0	       3	(0.19)
C238:*       2	       0	       2	(0.13)
C239:*       3	       0	       3	(0.19)
 C24:*       7	       4	      11	(0.70)
C240:*       3	       0	       3	(0.19)
C241:*       2	       0	       2	(0.13)
C242:*       2	       0	       2	(0.13)
C243:*       2	       2	       4	(0.26)
C244:*       3	       0	       3	(0.19)
C245:*       2	       0	       2	(0.13)
C246:*       1	       1	       2	(0.13)
C247:*       1	       1	       2	(0.13)
C248:*       2	       0	       2	(0.13)
C249:*       2	       0	       2	(0.13)
 C25:*       8	       2	      10	(0.64)
C250:*       3	       0	       3	(0.19)
 C26:*       2	       2	       4	(0.26)
 C27:*       5	       1	       6	(0.38)
 C28:*       3	       3	       6	(0.38)
 C29:*       6	       2	       8	(0.51)
  C3:*      27	      45	      72	(4.60)
 C30:*       2	       1	       3	(0.19)
 C31:*       2	       2	       4	(0.26)
 C32:*      11	       9	      20	(1.28)
 C33:*       4	       7	      11	(0.70)
 C34:*       5	       4	       9	(0.58)
 C35:*      13	       4	      17	(1.09)
 C36:*       7	      16	      23	(1.47)
 C37:*       1	       6	       7	(0.45)
 C38:*       5	       8	      13	(0.83)
 C39:*       2	       9	      11	(0.70)
  C4:*       6	       7	      13	(0.83)
 C40:*       5	       2	       7	(0.45)
 C41:*       4	       2	       6	(0.38)
 C42:*       6	       4	      10	(0.64)
 C43:*       1	       3	       4	(0.26)
 C44:*      17	      12	      29	(1.85)
 C45:*       3	       4	       7	(0.45)
 C46:*       0	       4	       4	(0.26)
 C47:*       2	       2	       4	(0.26)
 C48:*       3	       2	       5	(0.32)
 C49:*       5	       2	       7	(0.45)
  C5:*       7	       5	      12	(0.77)
 C50:*       3	       2	       5	(0.32)
 C51:*       3	       1	       4	(0.26)
 C52:*       8	       9	      17	(1.09)
 C53:*       1	       1	       2	(0.13)
 C54:*       5	       6	      11	(0.70)
 C55:*       8	       0	       8	(0.51)
 C56:*       0	       2	       2	(0.13)
 C57:*       2	       2	       4	(0.26)
 C58:*       7	       7	      14	(0.90)
 C59:*       1	       1	       2	(0.13)
  C6:*      16	       3	      19	(1.21)
 C60:*       1	       2	       3	(0.19)
 C61:*       0	       2	       2	(0.13)
 C62:*       0	       2	       2	(0.13)
 C63:*       4	       2	       6	(0.38)
 C64:*       1	       1	       2	(0.13)
 C65:*       1	       1	       2	(0.13)
 C66:*       2	       0	       2	(0.13)
 C67:*      10	       5	      15	(0.96)
 C68:*       0	       4	       4	(0.26)
 C69:*       2	       3	       5	(0.32)
  C7:*       2	       4	       6	(0.38)
 C70:*       1	       2	       3	(0.19)
 C71:*       1	       2	       3	(0.19)
 C72:*       2	      10	      12	(0.77)
 C73:*       3	       8	      11	(0.70)
 C74:*       1	       1	       2	(0.13)
 C75:*       1	       1	       2	(0.13)
 C76:*       1	       1	       2	(0.13)
 C77:*       2	       2	       4	(0.26)
 C78:*       2	       1	       3	(0.19)
 C79:*       1	       4	       5	(0.32)
  C8:*       8	       4	      12	(0.77)
 C80:*       4	       4	       8	(0.51)
 C81:*       1	       3	       4	(0.26)
 C82:*       1	       1	       2	(0.13)
 C83:*       0	       2	       2	(0.13)
 C84:*       2	       6	       8	(0.51)
 C85:*       3	       0	       3	(0.19)
 C86:*       6	       3	       9	(0.58)
 C87:*       1	       3	       4	(0.26)
 C88:*       4	       0	       4	(0.26)
 C89:*       1	       1	       2	(0.13)
  C9:*       1	       1	       2	(0.13)
 C90:*       2	       1	       3	(0.19)
 C91:*       3	       0	       3	(0.19)
 C92:*       2	       1	       3	(0.19)
 C93:*       5	       1	       6	(0.38)
 C94:*       6	       3	       9	(0.58)
 C95:*       2	       2	       4	(0.26)
 C96:*       2	       0	       2	(0.13)
 C97:*       2	       2	       4	(0.26)
 C98:*       0	       3	       3	(0.19)
 C99:*       4	       2	       6	(0.38)
 TOTAL     934	     630	    1564
         (59.72)   (40.28)
Precision = 63.43(137/216)
Recall = 8.76(137/1564+0)
F-Measure = 15.39

Legend of Sense Tags
S0 = w_p.people
S1 = w_p.world
