            S0	      S1	   TOTAL	
  C1:      142	      38	     180	(15.44)
 C43:        0	      62	      62	(5.32)
  C0:*       5	       0	       5	(0.43)
 C10:*      15	       0	      15	(1.29)
 C11:*      35	       0	      35	(3.00)
 C12:*      11	       0	      11	(0.94)
 C13:*      27	       1	      28	(2.40)
 C14:*      15	       0	      15	(1.29)
 C15:*       2	       0	       2	(0.17)
 C16:*       4	       0	       4	(0.34)
 C17:*       8	       1	       9	(0.77)
 C18:*      30	       0	      30	(2.57)
 C19:*       7	       0	       7	(0.60)
  C2:*       7	       0	       7	(0.60)
 C20:*       4	       0	       4	(0.34)
 C21:*       6	       8	      14	(1.20)
 C22:*       4	       0	       4	(0.34)
 C23:*       2	       4	       6	(0.51)
 C24:*       6	       0	       6	(0.51)
 C25:*       3	       0	       3	(0.26)
 C26:*       3	       0	       3	(0.26)
 C27:*       9	       0	       9	(0.77)
 C28:*       4	       0	       4	(0.34)
 C29:*       4	       0	       4	(0.34)
  C3:*       8	      12	      20	(1.72)
 C30:*       4	      16	      20	(1.72)
 C31:*       4	       0	       4	(0.34)
 C32:*      14	       0	      14	(1.20)
 C33:*       4	       0	       4	(0.34)
 C34:*       7	       0	       7	(0.60)
 C35:*      11	       0	      11	(0.94)
 C36:*       3	       0	       3	(0.26)
 C37:*      13	       0	      13	(1.11)
 C38:*       4	       0	       4	(0.34)
 C39:*       4	       0	       4	(0.34)
  C4:*      59	      25	      84	(7.20)
 C40:*       7	       0	       7	(0.60)
 C41:*       2	      13	      15	(1.29)
 C42:*      11	       0	      11	(0.94)
 C44:*       0	      14	      14	(1.20)
 C45:*       0	      13	      13	(1.11)
 C46:*       0	       7	       7	(0.60)
 C47:*       0	       6	       6	(0.51)
 C48:*       0	      12	      12	(1.03)
 C49:*       0	       4	       4	(0.34)
  C5:*      24	       0	      24	(2.06)
 C50:*       0	       9	       9	(0.77)
 C51:*       0	       6	       6	(0.51)
 C52:*       0	      13	      13	(1.11)
 C53:*       0	       7	       7	(0.60)
 C54:*       0	      14	      14	(1.20)
 C55:*       0	       8	       8	(0.69)
 C56:*       0	      13	      13	(1.11)
 C57:*       0	       6	       6	(0.51)
 C58:*       0	       7	       7	(0.60)
 C59:*       0	       5	       5	(0.43)
  C6:*       2	       0	       2	(0.17)
 C60:*       0	       8	       8	(0.69)
 C61:*       0	      11	      11	(0.94)
 C62:*       0	       8	       8	(0.69)
 C63:*       0	      14	      14	(1.20)
 C64:*       0	       3	       3	(0.26)
 C65:*       0	       3	       3	(0.26)
 C66:*       0	      13	      13	(1.11)
 C67:*       0	       6	       6	(0.51)
 C68:*       0	       7	       7	(0.60)
 C69:*       0	       7	       7	(0.60)
  C7:*      26	       1	      27	(2.32)
 C70:*       0	      16	      16	(1.37)
 C71:*       0	       7	       7	(0.60)
 C72:*       0	      12	      12	(1.03)
 C73:*       0	       8	       8	(0.69)
 C74:*       0	       4	       4	(0.34)
 C75:*       0	       5	       5	(0.43)
 C76:*       0	      10	      10	(0.86)
 C77:*       0	       5	       5	(0.43)
 C78:*       0	       6	       6	(0.51)
 C79:*       0	      13	      13	(1.11)
  C8:*      13	       0	      13	(1.11)
 C80:*       0	       6	       6	(0.51)
 C81:*       0	       7	       7	(0.60)
 C82:*       0	       9	       9	(0.77)
 C83:*       0	       4	       4	(0.34)
 C84:*       0	       9	       9	(0.77)
 C85:*       0	       6	       6	(0.51)
 C86:*       0	       4	       4	(0.34)
 C87:*       0	       5	       5	(0.43)
 C88:*       0	       8	       8	(0.69)
 C89:*       0	       8	       8	(0.69)
  C9:*      36	       0	      36	(3.09)
 TOTAL     609	     557	    1166
         (52.23)   (47.77)
Precision = 84.30(204/242)
Recall = 17.50(204/1166+0)
F-Measure = 28.98

Legend of Sense Tags
S0 = I_M.India
S1 = I_M.Microsoft
